[26726:26726:0720/174110.873158:WARNING:password_store_factory.cc(262)] Using basic (unencrypted) store for password storage. See https://chromium.googlesource.com/chromium/src/+/master/docs/linux_password_storage.md for more information about password storage options.
[26726:26812:0720/174112.154948:WARNING:leveldb_database.cc(106)] Unable to open /home/chaito/centralmessenger/whats/data/Default/shared_proto_db: Invalid argument: /home/chaito/centralmessenger/whats/data/Default/shared_proto_db: does not exist (create_if_missing is false)
[26726:26726:0720/174113.606543:WARNING:CONSOLE(1)] "The key "target-densitydpi" is not supported.", source: https://www.google.com/?fpdoodle=1&doodle=119274326&hl=pt-BR&gl=br&ntp=1&nord=1 (1)
[26726:26726:0720/174945.476788:INFO:CONSOLE(2)] "Uncaught (in promise) NotAllowedError: play() failed because the user didn't interact with the document first. https://goo.gl/xX8pDD", source: https://web.whatsapp.com/app2.d3dcb11114dc99cd37ab.js (2)
[26726:26726:0720/234820.837258:INFO:CONSOLE(2)] "WebSocket connection to 'wss://web.whatsapp.com/ws' failed: WebSocket is closed before the connection is established.", source: https://web.whatsapp.com/app.f2d64e26d366144085e4.js (2)
[26726:26726:0721/204619.326752:INFO:CONSOLE(2)] "WebSocket connection to 'wss://web.whatsapp.com/ws' failed: Error in connection establishment: net::ERR_NAME_RESOLUTION_FAILED", source: https://web.whatsapp.com/app.f2d64e26d366144085e4.js (2)
[26726:26726:0721/204619.335052:INFO:CONSOLE(2)] "WebSocket connection to 'wss://web.whatsapp.com/ws' failed: Error in connection establishment: net::ERR_NAME_RESOLUTION_FAILED", source: https://web.whatsapp.com/app.f2d64e26d366144085e4.js (2)
[26726:26726:0721/204619.338866:INFO:CONSOLE(2)] "WebSocket connection to 'wss://web.whatsapp.com/ws' failed: Error in connection establishment: net::ERR_NAME_RESOLUTION_FAILED", source: https://web.whatsapp.com/app.f2d64e26d366144085e4.js (2)
[26726:26726:0721/204639.367559:INFO:CONSOLE(2)] "WebSocket connection to 'wss://web.whatsapp.com/ws' failed: Error in connection establishment: net::ERR_NAME_RESOLUTION_FAILED", source: https://web.whatsapp.com/app.f2d64e26d366144085e4.js (2)
[26726:26726:0721/204639.368740:INFO:CONSOLE(2)] "WebSocket connection to 'wss://web.whatsapp.com/ws' failed: Error in connection establishment: net::ERR_NAME_RESOLUTION_FAILED", source: https://web.whatsapp.com/app.f2d64e26d366144085e4.js (2)
[26726:26726:0721/205234.419488:INFO:CONSOLE(2)] "WebSocket connection to 'wss://web.whatsapp.com/ws' failed: Error in connection establishment: net::ERR_NAME_RESOLUTION_FAILED", source: https://web.whatsapp.com/app.f2d64e26d366144085e4.js (2)
[26726:26726:0721/205448.866781:INFO:CONSOLE(2)] "WebSocket connection to 'wss://web.whatsapp.com/ws' failed: Error in connection establishment: net::ERR_NAME_RESOLUTION_FAILED", source: https://web.whatsapp.com/app.f2d64e26d366144085e4.js (2)
[26726:26726:0721/210935.693095:INFO:CONSOLE(2)] "WebSocket connection to 'wss://web.whatsapp.com/ws' failed: Error in connection establishment: net::ERR_NAME_RESOLUTION_FAILED", source: https://web.whatsapp.com/app.f2d64e26d366144085e4.js (2)
